condition,group
1-57,D1
2-15,C
ADG-2,F3
B38,A
BD-236,A
BD-254,C
BD-319,B
BD-362,C
BD-368,C
BD-369,A
BD-397,C
BD-403,C
BD-417,B
BD-449,F3
BD-467,D2
BD-494,A
BD-498,A
BD-500,A
BD-503,A
BD-504,A
BD-508,A
BD-536,C
BD-566,B
BD-598,A
BD-599,A
BD-605,A
BD-612,A
BD-614,A
BD-616,A
BD-618,A
BD-619,A
BD-623,B
BD-643,D1
BD-692,E2.2
BD-693,A
BD-694,A
BD-702,F2
BD-708,F1
BD-713,E2.1
BD-715,A
BD-739,A
BD-744,E2.1
BD-748,E2.2
BD-790,C
BD-791,C
BD-796,E2.2
BD-801,F2
BD-804,D1
BD-805,B
BD-812,D2
BD-815,E3
BD-817,D2
BD-822,A
BD-824,D1
BD-833,B
BD-836,B
BD-864,D1
BD-870,C
BD-899,F2
BD-900,C
BD-907,E1
BD-913,E2.2
BD-914,E2.1
BD-915,A
BD-918,D1
BD-922,B
BD-923,E2.1
BD55-1004,F1
BD55-1009,D1
BD55-1027,E3
BD55-1029,E2.1
BD55-1038,F1
BD55-1039,D1
BD55-1041,E3
BD55-1049,C
BD55-1051,C
BD55-1061,A
BD55-1064,F1
BD55-1065,C
BD55-1070,F1
BD55-1073,E2.1
BD55-1075,F2
BD55-1078,C
BD55-1084,C
BD55-1091,E1
BD55-1092,A
BD55-1096,F2
BD55-1104,D2
BD55-1109,D2
BD55-1114,E1
BD55-1117,F2
BD55-1128,F1
BD55-1129,F2
BD55-1132,F1
BD55-1136,D2
BD55-1140,E3
BD55-1146,E3
BD55-1171,C
BD55-1180,B
BD55-1192,C
BD55-1199,E3
BD55-1208,A
BD55-1223,C
BD55-1225,F2
BD55-1226,F1
BD55-1232,E1
BD55-1233,F2
BD55-1237,F2
BD55-1239,F2
BD55-1241,E3
BD55-1242,F1
BD55-1244,F1
BD55-1245,E1
BD55-1249,A
BD55-1251,E2.2
BD55-1256,C
BD55-1263,B
BD55-1266,E2.2
BD55-1268,D1
BD55-1273,F2
BD55-1274,E2.1
BD55-1275,E2.2
BD55-1294,E1
BD55-1297,F1
BD55-1307,E2.2
BD55-1312,E2.1
BD55-1315,A
BD55-1323,C
BD55-1334,B
BD55-1338,F1
BD55-1339,E1
BD55-1341,F1
BD55-1343,F2
BD55-1346,A
BD55-1354,D1
BD55-1374,A
BD55-1398,F1
BD55-1403,E1
BD55-1405,E3
BD55-1411,F2
BD55-1412,F2
BD55-1416,F1
BD55-1421,B
BD55-1429,F1
BD55-1432,E2.1
BD55-1435,C
BD55-1442,E2.2
BD55-1450,F3
BD55-1451,A
BD55-1453,E3
BD55-1456,A
BD55-1458,E3
BD55-1472,E2.2
BD55-1486,E3
BD55-1502,A
BD55-1503,A
BD55-1508,B
BD55-1558,C
BD55-1570,E3
BD55-1575,A
BD55-1576,C
BD55-1579,C
BD55-1694,C
BD55-1706,D1
BD55-1763,A
BD55-1779,D1
BD55-1789,F3
BD55-1809,A
BD55-1811,E3
BD55-1831,E2.2
BD55-1868,F2
BD55-1957,E2.2
BD55-1962,D1
BD55-1970,A
BD55-2314,E3
BD55-2413,F1
BD55-2532,E1
BD55-2696,F2
BD55-300,A
BD55-302,E2.1
BD55-311,E2.1
BD55-3149,E1
BD55-3150,E3
BD55-3152,E1
BD55-316,F2
BD55-3161,F1
BD55-3293,F1
BD55-3300,E2.2
BD55-3304,F2
BD55-3324,F1
BD55-3327,E3
BD55-3337,E3
BD55-3366,F1
BD55-3370,E2.2
BD55-3372,F3
BD55-3414,F3
BD55-3417,E3
BD55-3433,E1
BD55-3440,E1
BD55-3451,E1
BD55-3457,E1
BD55-347,F2
BD55-3484,E2.2
BD55-3500,F2
BD55-3525,E2.2
BD55-3546,E1
BD55-3561,E3
BD55-3597,E3
BD55-3602,F1
BD55-3611,E3
BD55-3637,E1
BD55-3670,F2
BD55-3684,F1
BD55-3698,E2.2
BD55-3716,F2
BD55-3721,F2
BD55-3741,F1
BD55-3773,E3
BD55-3807,E3
BD55-3832,E3
BD55-387,D2
BD55-389,F2
BD55-4281,E1
BD55-4285,E1
BD55-4286,F1
BD55-4325,E1
BD55-4328,F1
BD55-4329,F1
BD55-4342,F1
BD55-4343,F2
BD55-4344,F2
BD55-4345,F2
BD55-4348,F2
BD55-4351,C
BD55-4356,F2
BD55-4357,F2
BD55-4358,F2
BD55-4360,F1
BD55-4364,F1
BD55-4382,C
BD55-4392,F1
BD55-4394,F1
BD55-4397,C
BD55-4418,F1
BD55-4464,F1
BD55-4467,E2.2
BD55-4483,F2
BD55-4484,E1
BD55-4495,E1
BD55-4637,F3
BD55-4662,B
BD55-4664,E1
BD55-4760,F2
BD55-4804,E3
BD55-4892,E1
BD55-5001,E1
BD55-5163,F3
BD55-5164,F2
BD55-5167,F2
BD55-5168,F3
BD55-5170,F2
BD55-5171,E1
BD55-5175,E1
BD55-5182,F2
BD55-5183,B
BD55-5189,F2
BD55-5195,E1
BD55-5196,F3
BD55-5198,F3
BD55-5200,E1
BD55-5201,F2
BD55-5212,E3
BD55-5215,F1
BD55-5219,E1
BD55-5223,F2
BD55-5226,F2
BD55-5228,E1
BD55-5233,F3
BD55-5236,F2
BD55-5238,F2
BD55-5239,F2
BD55-5242,F2
BD55-5245,F2
BD55-5248,F1
BD55-5250,F1
BD55-5251,E3
BD55-5256,F2
BD55-5259,F3
BD55-5263,E3
BD55-5264,F2
BD55-5265,F2
BD55-5267,F2
BD55-5268,E3
BD55-5271,F1
BD55-5276,F2
BD55-5284,F1
BD55-5286,E1
BD55-5293,E3
BD55-5296,F2
BD55-5300,F3
BD55-5301,F2
BD55-5303,E1
BD55-5304,F2
BD55-5305,F3
BD55-5309,F2
BD55-5311,F1
BD55-5319,E1
BD55-5320,E2.2
BD55-5323,F3
BD55-5324,B
BD55-5325,F3
BD55-5326,F1
BD55-5333,F2
BD55-5339,F2
BD55-5342,F3
BD55-5343,F2
BD55-5354,F3
BD55-5358,F1
BD55-5359,F1
BD55-5361,F1
BD55-5365,F3
BD55-5379,E3
BD55-5380,F2
BD55-5382,E1
BD55-5384,F2
BD55-5386,E1
BD55-5387,F2
BD55-5396,F3
BD55-5397,F2
BD55-5399,B
BD55-5400,F1
BD55-5404,F1
BD55-5408,F3
BD55-5411,F2
BD55-5413,E2.2
BD55-5415,E3
BD55-5416,F2
BD55-5417,F1
BD55-5418,E3
BD55-5419,F2
BD55-5425,F1
BD55-5427,F2
BD55-5431,F2
BD55-5432,F2
BD55-5438,F2
BD55-5442,F1
BD55-5448,F3
BD55-5449,E1
BD55-5450,F2
BD55-5453,F1
BD55-5454,F1
BD55-5456,F1
BD55-5459,F3
BD55-5462,D1
BD55-5463,B
BD55-5466,F3
BD55-5467,F2
BD55-5468,F3
BD55-547,F2
BD55-5470,E3
BD55-5471,F1
BD55-5472,F3
BD55-5473,E1
BD55-5474,F2
BD55-5476,F1
BD55-5477,E1
BD55-5483,F3
BD55-5484,E1
BD55-5485,E3
BD55-5486,F2
BD55-5493,F2
BD55-5495,F1
BD55-5501,E1
BD55-5502,F1
BD55-5505,F2
BD55-5512,F2
BD55-5514,F3
BD55-5516,F2
BD55-5517,F2
BD55-5521,F2
BD55-5524,E2.2
BD55-5526,F3
BD55-5530,B
BD55-5537,F2
BD55-5542,E1
BD55-5543,F3
BD55-5545,E3
BD55-5549,E1
BD55-5551,E3
BD55-5557,F1
BD55-5558,F3
BD55-556,B
BD55-5564,F2
BD55-5565,E1
BD55-5566,D1
BD55-5568,F1
BD55-5569,E3
BD55-5575,F1
BD55-5577,F1
BD55-5579,F1
BD55-5580,A
BD55-5583,E3
BD55-5585,E1
BD55-5588,F3
BD55-5591,E1
BD55-5593,F3
BD55-5594,F2
BD55-5598,E2.2
BD55-5609,F1
BD55-5610,F2
BD55-5612,E1
BD55-5615,F3
BD55-5617,E2.2
BD55-5620,F2
BD55-5625,E3
BD55-5629,F3
BD55-5630,E3
BD55-5634,C
BD55-5636,F1
BD55-5638,F2
BD55-5640,F2
BD55-5643,E1
BD55-5644,E1
BD55-5649,F3
BD55-5655,B
BD55-5662,F2
BD55-5675,F2
BD55-5676,F2
BD55-5687,E3
BD55-5690,F2
BD55-5694,F2
BD55-5697,E1
BD55-5699,F2
BD55-5700,F2
BD55-5713,F3
BD55-5715,F3
BD55-5718,E1
BD55-5721,D1
BD55-5728,E1
BD55-5731,A
BD55-5736,F2
BD55-5737,F2
BD55-5743,A
BD55-5745,B
BD55-5747,C
BD55-5752,E3
BD55-5761,F3
BD55-5770,F1
BD55-5774,B
BD55-5779,E1
BD55-5784,F1
BD55-5785,F3
BD55-5789,E2.2
BD55-5790,F1
BD55-5792,F2
BD55-5794,F1
BD55-5810,F3
BD55-5811,B
BD55-5815,F1
BD55-5830,E3
BD55-5831,F2
BD55-5832,E1
BD55-5836,D1
BD55-5839,F2
BD55-5840,E1
BD55-5844,E2.2
BD55-5854,C
BD55-5856,A
BD55-5858,E3
BD55-5874,F2
BD55-5878,F2
BD55-5879,F1
BD55-5889,F1
BD55-5900,F1
BD55-5906,F3
BD55-5909,C
BD55-5927,F2
BD55-5961,F1
BD55-5966,A
BD55-5992,E3
BD55-600,A
BD55-6015,F2
BD55-6025,F3
BD55-6030,F2
BD55-6033,F2
BD55-6034,F1
BD55-6037,F1
BD55-6038,F1
BD55-6041,E3
BD55-6055,F1
BD55-6063,F2
BD55-6066,F2
BD55-6068,F2
BD55-6069,F3
BD55-6075,F1
BD55-6078,E2.2
BD55-6080,F2
BD55-6086,F2
BD55-6088,F2
BD55-6092,F2
BD55-6095,F2
BD55-6103,F2
BD55-6105,F2
BD55-6112,F3
BD55-6190,F2
BD55-6195,F3
BD55-6197,F2
BD55-6203,F3
BD55-6206,F3
BD55-6208,F3
BD55-6222,F1
BD55-6231,F2
BD55-6234,E3
BD55-6241,E1
BD55-6243,F2
BD55-6251,F2
BD55-6261,F3
BD55-6262,F2
BD55-6263,F2
BD55-6283,F2
BD55-6305,F2
BD55-6306,F2
BD55-6308,F2
BD55-6317,F2
BD55-632,F2
BD55-6329,F3
BD55-6340,F3
BD55-6346,E3
BD55-6379,F2
BD55-6382,B
BD55-6383,B
BD55-6385,D1
BD55-6392,F2
BD55-6411,F3
BD55-6413,A
BD55-6447,F3
BD55-6477,F3
BD55-6478,F3
BD55-6486,F2
BD55-6507,F2
BD55-6510,F2
BD55-6511,E2.2
BD55-6520,F3
BD55-6527,F3
BD55-6552,F3
BD55-6564,F2
BD55-6585,E3
BD55-659,F2
BD55-6626,F3
BD55-6637,E2.2
BD55-6638,F3
BD55-6642,F2
BD55-6647,F2
BD55-6651,F3
BD55-676,F2
BD55-688,F2
BD55-711,F2
BD55-746,F1
BD55-747,F2
BD55-749,E3
BD55-751,E3
BD55-822,F2
BD55-885,F2
BD55-948,F2
BD56-887,B
BG1-24,B
BG10-19,E1
BG4-25,A
BG7-15,D2
BG7-20,A
BRII-196,A
C002,C
C048,F2
C058,C
C083,C
C085,C
C091,E2.2
C093,A
C102,A
C105,A
C110,D1
C119,D1
C121,C
C135,A
C144,C
C1A-B12,A
C1A-B3,A
C1A-C2,A
C1A-F10,A
C516,C
C556,E2.1
C576,E1
C578,A
C581,E2.2
C591,C
C594,F2
C597,B
CC12.1,A
CC12.3,A
CM32,C
COV2-2015,F2
COV2-2037,A
COV2-2046,B
COV2-2064,C
COV2-2068,A
COV2-2072,B
COV2-2098,A
COV2-2103,F2
COV2-2113,A
COV2-2130,D1
COV2-2196,B
COV2-2258,F2
COV2-2268,D2
COV2-2308,A
COV2-2353,C
COV2-2381,B
COV2-2389,E2.1
COV2-2391,C
COV2-2479,C
COV2-2485,E2.2
COV2-2499,D2
COV2-2504,C
COV2-2514,F2
COV2-2531,F2
COV2-2539,C
COV2-2589,A
COV2-2677,F2
COV2-2678,F2
COV2-2684,B
COV2-2693,D1
COV2-2780,D1
COV2-2807,A
COV2-2819,C
COV2-2828,F2
COV2-2841,F2
COV2-2919,A
COV2-2941,B
COV2-2955,C
COV2-3025,B
COVA1-16,E3
COVA2-04,A
COVA2-39,B
COVOX-150,A
COVOX-222,A
COVOX-253H165L,B
COVOX-253H55L,B
COVOX-269,A
COVOX-316,C
COVOX-384,C
COVOX-40,A
COVOX-75,D1
COVOX-88,A
CV-X2-106,B
CV05-163,A
CV07-200,C
CV07-209,B
CV07-222,C
CV07-250,A
CV07-255,C
CV07-262,C
CV07-270,D1
CV07-283,C
CV07-287,B
CV07-315,C
CV30,A
CV38-142,E1
DH1041,C
DH1042,C
DH1043,C
DH1044,D1
DH1045,F2
DH1046,F2
DH1047,F2
DH1072,E3
DH1073,F2
DH1082,C
DH1111,C
DH1126,A
DH1140,A
DH1143,C
DH1151,E2.1
DH1154,A
DH1155,A
DH1159-2,C
DH1160,D1
DH1161-2,D1
DH1173,C
DH1179,A
DH1184,C
DH1186,C
DH1193,E2.2
DH1196,C
DH1210,A
DH1214,C
DXP-593,C
DXP-604,A
Ehling_mAb-50,D2
Ehling_mAb-64,A
Ehling_mAb-82,D1
H4,C
LY-CoV016,A
LY-CoV1404,D2
LY-CoV481,A
LY-CoV488,A
LY-CoV555,C
P2B-1A10,A
P2B-2F6,D1
P2C-1A3,C
P4A1,A
P5A-2G9,A
P5A-3A1,A
S2E12,B
S2H13,C
S2H14,F3
S2H97,E3
S2M11,C
S2X259,F2
S2X35,F3
S304,F1
S309,E1
TAU-2230,D1
TAU-2310,E3
WIBP-2B11,A
XG2v-006,E2.2
XG2v-039,A
XG2v-045,C
XG2v-052,D1
XG2v-070,E2.1
XG2v-083,D1
XG2v-095,B
XG2v-098,A
XG2v-126,B
XGv-001,F1
XGv-010,D1
XGv-011,E2.1
XGv-013,A
XGv-014,E3
XGv-016,D2
XGv-017,A
XGv-018,F1
XGv-023,F1
XGv-024,F1
XGv-030,E2.2
XGv-032,F2
XGv-038,E2.2
XGv-040,A
XGv-047,D1
XGv-049,F1
XGv-050,B
XGv-051,C
XGv-052,C
XGv-055,C
XGv-072,E2.2
XGv-073,F1
XGv-074,D2
XGv-094,E2.1
XGv-097,C
XGv-107,D2
XGv-116,F3
XGv-152,C
XGv-155,C
XGv-157,F2
XGv-158,F2
XGv-159,F2
XGv-172,C
XGv-174,E2.1
XGv-175,E2.1
XGv-177,A
XGv-179,E3
XGv-19,F1
XGv-191,D1
XGv-198,E2.2
XGv-199,E2.1
XGv-20,E2.2
XGv-208,A
XGv-212,E2.2
XGv-214,E2.1
XGv-225,A
XGv-227,E2.1
XGv-232,C
XGv-233,E2.1
XGv-235,E3
XGv-236,F2
XGv-250,D1
XGv-251,E2.2
XGv-252,F1
XGv-253,B
XGv-261,A
XGv-263,D1
XGv-264,D2
XGv-265,D2
XGv-266,D2
XGv-279,B
XGv-282,D2
XGv-284,E2.1
XGv-285,D2
XGv-286,D2
XGv-287,D2
XGv-288,D2
XGv-289,D2
XGv-290,D2
XGv-291,D2
XGv-292,D2
XGv-293,D2
XGv-294,D2
XGv-295,D2
XGv-296,D2
XGv-297,D2
XGv-298,A
XGv-300,A
XGv-301,A
XGv-304,A
XGv-305,F1
XGv-306,F1
XGv-311,F1
XGv-318,F1
XGv-324,C
XGv-337,C
XGv-343,C
XGv-345,D1
XGv-346,E2.1
XGv-347,B
XGv-355,E3
XGv-360,F3
XGv-380,E2.2
XGv-387,A
XGv-401,E3
XGv-402,B
XGv-404,A
XGv-405,A
XGv-409,B
XGv-416,F2
XGv-418,E3
XGv-420,D1
XGv-421,E1
XGv-422,E3
