lineage,max
AY.103,1.81818181818182
AY.106,1.23711340206186
AY.112,2.98507462686567
AY.116,1.76991150442478
AY.118,1.20481927710843
AY.119,1.51898734177215
AY.120,1.26582278481013
AY.120.2.1,5.1948051948052
AY.121,9.47368421052632
AY.121.1,2.33463035019455
AY.122,32.5
AY.124,6.25
AY.125,8.86075949367089
AY.126,10.678391959799
AY.127,6.25
AY.128,1.15606936416185
AY.129,9.49720670391061
AY.16,1.2987012987013
AY.20,1.34228187919463
AY.22,2.5974025974026
AY.23,3.2258064516129
AY.24,3.1055900621118
AY.25,1.44927536231884
AY.26,1.69491525423729
AY.33,10.1796407185629
AY.33.2,1.04166666666667
AY.34,3.8961038961039
AY.34.1,1.63265306122449
AY.36,3.54430379746835
AY.36.1,5.75539568345324
AY.37,1.88679245283019
AY.4,12.6984126984127
AY.4.10,1.01010101010101
AY.4.2,3.8961038961039
AY.4.2.1,3.23741007194245
AY.4.2.3,2.89855072463768
AY.4.4,2.45098039215686
AY.4.5,2.17391304347826
AY.4.6,2.94117647058824
AY.4.7,4.2654028436019
AY.4.9,1.49253731343284
AY.41,4.16666666666667
AY.42,12.6984126984127
AY.43,29.3333333333333
AY.43.8,3.53982300884956
AY.44,1.05263157894737
AY.45,1.69491525423729
AY.46,3.2258064516129
AY.46.2,4.54545454545455
AY.46.6,10.4575163398693
AY.5,5.20833333333333
AY.5.4,3.3195020746888
AY.5.5,1.34529147982063
AY.50,1.05263157894737
AY.51,2.53164556962025
AY.53,3.125
AY.6,3.125
AY.60,1.49253731343284
AY.61,1.72413793103448
AY.65,1.49253731343284
AY.66,1.10294117647059
AY.68,2.94117647058824
AY.7,2.4390243902439
AY.7.1,2.94117647058824
AY.7.2,3.16901408450704
AY.70,9.67741935483871
AY.71,2.06185567010309
AY.72,2.98507462686567
AY.73,1.04166666666667
AY.75,6.86695278969957
AY.82,2.94117647058824
AY.84,4.63917525773196
AY.85,1.49253731343284
AY.88,1.88679245283019
AY.9,2
AY.9.2,17.6470588235294
AY.91,2.68456375838926
AY.91.1,1.47058823529412
AY.92,1.05263157894737
AY.98,1.07913669064748
AY.98.1,6.06060606060606
AY.98.1.1,2.53164556962025
AZ.2,1.81818181818182
B.1.1,3.2258064516129
B.1.1.318,1.25786163522013
B.1.1.529,2.22222222222222
B.1.1.7,16.875
B.1.258,3.2258064516129
B.1.617.2,34.375
B.1.619.1,1.2987012987013
B.1.621,1.25
BA.1,19.2682926829268
BA.1.1,48.9908256880734
BA.1.1.1,9.46219167003639
BA.1.1.11,1.20724346076459
BA.1.1.14,1.15491835921943
BA.1.1.15,1.3986013986014
BA.1.14,1.46341463414634
BA.1.15,5.24475524475525
BA.1.15.1,1.74825174825175
BA.1.17,5.94405594405594
BA.1.17.2,7.45986779981114
BA.1.18,14.2857142857143
BA.1.19,1.60965794768612
BA.1.20,3.76984126984127
BA.1.21,1.16279069767442
BA.2,74.613506916192
BA.2.1,1.04333868378812
BA.2.10,1.22137404580153
BA.2.12.1,7.5
BA.2.18,2.5
BA.2.23,1.20603015075377
BA.2.3,3.55029585798817
BA.2.3.15,1.07142857142857
BA.2.3.20,1.31578947368421
BA.2.36,7.5
BA.2.5,1.2751677852349
BA.2.52,1.45348837209302
BA.2.54,1.02040816326531
BA.2.56,2.75423728813559
BA.2.65,1.21951219512195
BA.2.75.5,1.69491525423729
BA.2.9,22.4643755238894
BA.4,4.0976460331299
BA.4.1,6.20347394540943
BA.4.6,3.0812324929972
BA.5,6.41975308641975
BA.5.1,28.9772727272727
BA.5.1.1,1.01010101010101
BA.5.1.10,2.16450216450216
BA.5.1.12,1.31578947368421
BA.5.1.2,1.70454545454545
BA.5.1.21,1.13207547169811
BA.5.1.22,4.63576158940397
BA.5.1.23,2.02020202020202
BA.5.1.24,1.92837465564738
BA.5.1.26,1.29390018484288
BA.5.1.28,1.0752688172043
BA.5.1.3,4.63917525773196
BA.5.1.30,2.36686390532544
BA.5.1.5,3.35097001763668
BA.5.2,22.8346456692913
BA.5.2.1,20.3980099502488
BA.5.2.13,1.61290322580645
BA.5.2.18,1.32075471698113
BA.5.2.20,2.88315629742033
BA.5.2.21,1.37741046831956
BA.5.2.25,1.83908045977011
BA.5.2.26,2.11267605633803
BA.5.2.28,1.00671140939597
BA.5.2.3,1.41732283464567
BA.5.2.34,1.73460537727667
BA.5.2.35,1.31578947368421
BA.5.2.48,1.31578947368421
BA.5.2.6,3.88888888888889
BA.5.2.7,1.91082802547771
BA.5.3,2.14285714285714
BA.5.3.1,1.68350168350168
BA.5.3.2,4.28571428571429
BA.5.3.4,1.93548387096774
BA.5.5,1.49253731343284
BA.5.6,4.6448087431694
BA.5.9,4.5045045045045
BE.1,3.97727272727273
BE.1.1,26.4492753623188
BE.1.1.1,1.37931034482759
BE.1.1.2,3.75180375180375
BE.10,1.14942528735632
BF.1,2.90322580645161
BF.10,1.09140518417462
BF.11,2.53164556962025
BF.11.1,1.01010101010101
BF.11.3,1.0752688172043
BF.11.4,1.01010101010101
BF.14,4.04040404040404
BF.26,1.20689655172414
BF.27,1.12044817927171
BF.28,1.99004975124378
BF.5,7.28291316526611
BF.6,1.4792899408284
BF.7,22.3255813953488
BF.7.1,1.8018018018018
BF.7.13.2,1.3953488372093
BF.7.19,1.14942528735632
BF.7.21,1.13636363636364
BF.7.22,1.13636363636364
BF.7.24,2.03327171903882
BF.7.3,1.01010101010101
BF.7.4,3.2258064516129
BF.7.4.2,1.3953488372093
BF.7.5,4.62662337662338
BF.7.6,3.125
BM.4.1.1,1.0752688172043
BN.1,1.8348623853211
BN.1.2,1.33037694013304
BN.1.3,4.63576158940397
BN.1.3.1,4.04040404040404
BN.1.4,1.31578947368421
BN.1.4.1,1.14942528735632
BN.1.4.2,5.88235294117647
BN.1.4.3,1.01010101010101
BN.1.5,1.0221465076661
BN.3.1,2.7027027027027
BQ.1,6.20689655172414
BQ.1.1,20.0626959247649
BQ.1.1.1,2.06896551724138
BQ.1.1.10,1.99203187250996
BQ.1.1.13,2.88248337028825
BQ.1.1.15,1.19521912350598
BQ.1.1.18,4.34782608695652
BQ.1.1.2,2.63157894736842
BQ.1.1.20,2.22222222222222
BQ.1.1.22,1.38248847926267
BQ.1.1.23,2.24358974358974
BQ.1.1.24,1.69491525423729
BQ.1.1.29,4.34782608695652
BQ.1.1.3,1.01010101010101
BQ.1.1.31,2.03327171903882
BQ.1.1.32,1.01010101010101
BQ.1.1.37,3.03030303030303
BQ.1.1.4,3.44827586206897
BQ.1.1.45,8.69565217391304
BQ.1.1.46,2.22222222222222
BQ.1.1.47,2.02020202020202
BQ.1.1.5,1.61290322580645
BQ.1.1.53,1.33333333333333
BQ.1.1.58,1.65562913907285
BQ.1.1.59,20
BQ.1.1.7,2.17155266015201
BQ.1.1.8,1.49253731343284
BQ.1.10,2.12765957446809
BQ.1.11,1.14942528735632
BQ.1.12,1.51515151515152
BQ.1.13.1,4.34782608695652
BQ.1.14,2.63157894736842
BQ.1.18,11.1111111111111
BQ.1.19,1.96850393700787
BQ.1.2,2.50783699059561
BQ.1.22,1.31578947368421
BQ.1.23,1.78217821782178
BQ.1.25,6.66666666666667
BQ.1.26,1.03359173126615
BQ.1.3.2,9.09090909090909
BQ.1.5,1.29198966408269
BQ.1.8,2.22222222222222
BR.1,1.38248847926267
BR.2.1,1.04529616724739
BU.3,1.46788990825688
C.36.3,1.88679245283019
CE.1,1.01010101010101
CG.1,1.33333333333333
CH.1.1,13.6363636363636
CH.1.1.1,20
CH.1.1.10,2.12765957446809
CH.1.1.11,3.2258064516129
CH.1.1.12,3.57142857142857
CH.1.1.15,2.3876404494382
CH.1.1.16,7.14285714285714
CH.1.1.2,2.22222222222222
CH.1.1.22,2.22222222222222
CH.1.1.24,1.33333333333333
CJ.1,1.31578947368421
CJ.1.2,1.37931034482759
CK.1,3.44827586206897
CK.2.1,1.13636363636364
CK.2.1.1,1.61290322580645
CL.1,2.5974025974026
CL.1.1,1.37931034482759
CM.8.1,14.2857142857143
CP.1.1,2.22222222222222
CP.8,2.2181146025878
CQ.2,1.14942528735632
CR.1,1.86335403726708
DB.1,1.31578947368421
DM.1,1.0752688172043
DN.1,1.01010101010101
DQ.1,1.72413793103448
DS.2,2.22222222222222
DT.2,1.01010101010101
DU.1,1.69491525423729
DV.1.1,20
DV.6,14.2857142857143
DV.6.1,14.2857142857143
DV.6.2,8.33333333333333
DV.7,20
DV.8,3.57142857142857
EA.1,2.7027027027027
EC.1.1,2.1505376344086
EE.4,6.77966101694915
EF.1,4.93827160493827
EF.1.1,1.01694915254237
EG.1,100
EG.1.2,100
EG.1.3,20
EG.1.4,11.1111111111111
EG.2,7.14285714285714
EG.3,1.61290322580645
EG.4,50
EG.5,20
EG.5.1,100
EG.5.1.1,100
EG.5.2,14.2857142857143
EG.6.1,50
EG.7,50
EK.3,4.34782608695652
EL.1,14.2857142857143
EM.1,2.12765957446809
EN.1,4.54545454545455
ET.1,2.22222222222222
EU.1,2.63157894736842
EU.1.1,50
EU.1.1.1,33.3333333333333
EW.1,1.5748031496063
EY.1,5.88235294117647
FD.1.1,3.57142857142857
FD.2,2.63157894736842
FD.4,1.88679245283019
FE.1,25
FE.1.1,17.6470588235294
FE.1.1.1,14.2857142857143
FE.1.2,7.69230769230769
FH.1,9.09090909090909
FK.1,8.33333333333333
FK.1.2,1.49253731343284
FK.1.2.1,1.49253731343284
FL.1,11.1111111111111
FL.1.3,7.69230769230769
FL.1.5,14.2857142857143
FL.10,50
FL.12,3.57142857142857
FL.13,33.3333333333333
FL.2,14.2857142857143
FL.2.1,25
FL.2.3,14.2857142857143
FL.3,66.6666666666667
FL.3.1,2.7027027027027
FL.4,20
FL.5,50
FL.6,6.25
FL.7,4.54545454545455
FL.8,16.6666666666667
FL.9,2.12765957446809
FM.2,10
FS.1,7.69230769230769
FU.1,100
FU.2,7.69230769230769
FW.1,14.2857142857143
FY.1,4.54545454545455
FY.1.2,1.49253731343284
FY.3,7.14285714285714
FY.4,4.34782608695652
FY.4.1,4.34782608695652
GA.2,8.33333333333333
GA.3,1.69491525423729
GB.1,25
GE.1,28.5714285714286
GF.1,4.34782608695652
GG.1,5.88235294117647
GJ.1,33.3333333333333
GJ.1.1,14.2857142857143
GK.1,40
GN.1,20
GP.2,7.14285714285714
GR.1,2.56410256410256
P.1,2.51572327044025
P.1.17.1,3.8961038961039
XAS,1.48148148148148
XAY.1.1.1,25
XAY.1.1.2,25
XAY.2,4.34782608695652
XAZ,1.194743130227
XBB,3.48258706467662
XBB.1,9.67741935483871
XBB.1.1,100
XBB.1.13,1.23456790123457
XBB.1.14,1.0752688172043
XBB.1.16,100
XBB.1.16.1,20
XBB.1.16.11,14.2857142857143
XBB.1.16.2,6.25
XBB.1.16.4,7.69230769230769
XBB.1.16.6,20
XBB.1.17.1,4.54545454545455
XBB.1.19.1,5.88235294117647
XBB.1.21,2.63157894736842
XBB.1.22.1,4.54545454545455
XBB.1.22.2,1.88679245283019
XBB.1.28.1,14.2857142857143
XBB.1.33,3.7037037037037
XBB.1.34.1,7.69230769230769
XBB.1.37.1,5.26315789473684
XBB.1.38,1.01010101010101
XBB.1.42,25
XBB.1.47.1,2.22222222222222
XBB.1.5,100
XBB.1.5.1,6.25
XBB.1.5.11,1.01010101010101
XBB.1.5.12,14.2857142857143
XBB.1.5.13,25
XBB.1.5.14,4.34782608695652
XBB.1.5.15,4.34782608695652
XBB.1.5.16,1.96078431372549
XBB.1.5.17,2.63157894736842
XBB.1.5.18,5.88235294117647
XBB.1.5.19,14.2857142857143
XBB.1.5.20,6.12244897959184
XBB.1.5.21,7.69230769230769
XBB.1.5.23,5.88235294117647
XBB.1.5.24,7.14285714285714
XBB.1.5.28,1.69491525423729
XBB.1.5.31,7.69230769230769
XBB.1.5.33,8.33333333333333
XBB.1.5.36,2.63157894736842
XBB.1.5.37,100
XBB.1.5.38,14.2857142857143
XBB.1.5.39,1.88679245283019
XBB.1.5.42,2.56410256410256
XBB.1.5.46,25
XBB.1.5.48,1.69491525423729
XBB.1.5.49,5.26315789473684
XBB.1.5.5,2.22222222222222
XBB.1.5.51,4.54545454545455
XBB.1.5.52,9.09090909090909
XBB.1.5.54,16.6666666666667
XBB.1.5.56,1.14942528735632
XBB.1.5.59,2.56410256410256
XBB.1.5.60,1.88679245283019
XBB.1.5.62,3.73134328358209
XBB.1.5.63,33.3333333333333
XBB.1.5.65,16.6666666666667
XBB.1.5.66,4.34782608695652
XBB.1.5.67,25
XBB.1.5.68,4.54545454545455
XBB.1.5.7,14.2857142857143
XBB.1.5.70,3.57142857142857
XBB.1.5.72,16.6666666666667
XBB.1.5.73,2.56410256410256
XBB.1.5.75,33.3333333333333
XBB.1.5.86,1.69491525423729
XBB.1.9,5.88235294117647
XBB.1.9.1,100
XBB.1.9.2,20
XBB.2.3,9.09090909090909
XBB.2.3.1,33.3333333333333
XBB.2.3.11,12.5
XBB.2.3.2,33.3333333333333
XBB.2.3.3,18.1818181818182
XBB.2.3.7,4.34782608695652
XBB.2.3.8,4.54545454545455
XBB.2.4,5.88235294117647
XBB.2.5,3.30578512396694
XBB.2.9,1.88679245283019
XBC.1.3,25
XBF,8.33333333333333
XBF.4,1.88679245283019
XBF.6,1.0752688172043
XBF.7.1,1.2987012987013
XBF.8,1.2987012987013
XBK,4.54545454545455
XBK.1,1.65289256198347
XBL,4.34782608695652
XBL.3,9.09090909090909
XBT,2.8735632183908
XBW,25
